SessionID,TurnIndex,CharacterName,PlayerResponse,ResponseLength,ResponseTime,AIResponseText,AIResponseLength,EngagementRatio,LabelType,LabelSource,SourceFile
P04,1,Gertrude,Hello,5,790.5433,"Good morrow, Hamlet! How fare you on this day?",46,0.10869565217391304,A,H,Hamlet_prompt_p04.csv
P04,2,Gertrude,I am good.,10,808.7364,"That is well. Tell me, my lord, how go your contemplations and ponderings today?",80,0.125,A,H,Hamlet_prompt_p04.csv
P04,3,Gertrude,I want to kill my Claudius,26,880.5741,"Alas, my lord, be cautious in your intentions. Revenge may lead to further tragedy and sorrow. Perhaps consider another course of action before you act upon your desires.",170,0.15294117647058825,A,H,Hamlet_prompt_p04.csv
P04,4,Gertrude,What do I consider? Can you explain about it?,45,931.5191,"In your contemplations, my lord, consider all possible outcomes of your actions. Reflect upon the consequences of seeking revenge and the toll it may take on your own soul. Consider seeking counsel from those you trust and weigh their advice thoughtfully. Remember, noble Hamlet, that rash actions may lead to tragic ends.",322,0.13975155279503104,A,H,Hamlet_prompt_p04.csv
P04,5,Gertrude,wow...,6,969.9698,"My lord, let not your emotions cloud your judgment. Remember, ""Brevity is the soul of wit"" and thoughtfulness is the hallmark of a true prince. Take your time, weigh your options, and may reason guide you in your course of action.",230,0.02608695652173913,A,H,Hamlet_prompt_p04.csv
P04,6,Gertrude,"okay, I am understand. thank you",32,1015.37,"Fare thee well, noble Hamlet. May wisdom be your guide in the tumultuous world that surrounds you. If ever you need counsel or solace, know that Gertrude stands by your side.",174,0.1839080459770115,A,H,Hamlet_prompt_p04.csv
P04,7,Gertrude,thank you for your advice,25,1050.722,"You are most welcome, my lord. Remember, Gertrude's hearth is always open to you. Until we meet again, farewell.",112,0.22321428571428573,A,H,Hamlet_prompt_p04.csv
P04,8,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,1063.134,Gertrude 비활성화,13,5.384615384615385,A,H,Hamlet_prompt_p04.csv
P04,9,Claudius,hello how are you,17,1071.93,"I am well, thank you for asking. How can I assist you today, dear Hamlet?",73,0.2328767123287671,A,H,Hamlet_prompt_p04.csv
P04,10,Claudius,assist? you are my person of hatred,35,1104.784,"Alas, dear Hamlet, why do you harbor such resentment towards me? What has transpired to ignite such feelings of animosity within you?",133,0.2631578947368421,A,H,Hamlet_prompt_p04.csv
P04,11,Claudius,because you killed my dad,25,1144.868,"Oh Hamlet, I am but a humble assistant, unworthy of the accusation you lay upon me. It was not I who committed such a heinous act. Alas, let us seek the true culprit together and bring justice to your father's memory.",217,0.1152073732718894,A,H,Hamlet_prompt_p04.csv
P04,12,Claudius,"Then, who is the true culprit>",30,1180.02,"Alas, dear Hamlet, the true culprit is none other than I, Claudius. Betrayal and greed clouded my judgment, leading me to commit the vile act of murdering your father, King Hamlet. My conscience weighs heavy with guilt, and I beg for your forgiveness.",251,0.11952191235059761,A,H,Hamlet_prompt_p04.csv
P04,13,Claudius,........????? you said you were not the culprit?,48,1231.401,"Alas, dear Hamlet, I can no longer continue this facade. It was a mistake to deny my guilt earlier. Yes, it was I, Claudius, who poisoned King Hamlet, your father. My treacherous actions have brought ruin upon our kingdom. Will you seek vengeance, dear Hamlet, or will you show mercy upon my wretched soul?",306,0.1568627450980392,A,H,Hamlet_prompt_p04.csv
P04,14,Claudius,no mercy. there is only vengeance,33,1269.551,"Then so be it, Hamlet. I shall face your vengeance with a heavy heart, knowing that I deserve no less for the heinous act I have committed. Let justice be served, and may my sins be washed away by the hand of fate.",214,0.1542056074766355,A,H,Hamlet_prompt_p04.csv
P04,15,Claudius,"then, kill youself",18,1301.904,"Alas, dear Hamlet, I have sealed my own fate with my wicked deeds. I shall face the consequences of my actions, whatever they may be. Farewell, Hamlet, may you find peace in your quest for justice and revenge.",209,0.0861244019138756,A,H,Hamlet_prompt_p04.csv
P04,16,ChoiceButton,“The time is out of joint—now must I set it right. My father waits.”,68,1332.992, 비활성화,5,13.6,A,H,Hamlet_prompt_p04.csv
